x	y	z
-6.630734002655143	2.341372200038736	0.0
-6.626345384337026	2.362480759485253	0.0
-6.62195676601891	2.38358931893177	0.0
-6.617568147700793	2.4046978783782875	0.0
-6.613179529382676	2.425806437824804	0.0
-6.60879091106456	2.4469149972713216	0.0
-6.6044022927464425	2.4680235567178386	0.0
-6.600013674428325	2.4891321161643556	0.0
-6.595625056110209	2.5102406756108726	0.0
-6.591236437792093	2.5313492350573896	0.0
-6.586847819473976	2.552457794503907	0.0
-6.58245920115586	2.5735663539504237	0.0
-6.578070582837744	2.594674913396941	0.0
-6.573681964519627	2.615783472843458	0.0
-6.56929334620151	2.636892032289975	0.0
-6.564904727883393	2.658000591736492	0.0
-6.560516109565277	2.679109151183009	0.0
-6.55612749124716	2.700217710629526	0.0
-6.551738872929043	2.721326270076043	0.0
-6.547350254610927	2.7424348295225607	0.0
-6.5429616362928105	2.7635433889690777	0.0
-6.538573017974693	2.784651948415595	0.0
-6.534184399656577	2.805760507862112	0.0
-6.529795781338461	2.826869067308629	0.0
-6.525407163020344	2.847977626755146	0.0
-6.521018544702227	2.8690861862016632	0.0
-6.516629926384111	2.8901947456481807	0.0
-6.512241308065993	2.9113033050946977	0.0
-6.507852689747877	2.9324118645412147	0.0
-6.503464071429761	2.9535204239877317	0.0
-6.499075453111644	2.9746289834342488	0.0
-6.494686834793527	2.995737542880766	0.0
-6.487993559978961	3.016331363039937	0.0
-6.479272612301192	3.0364723075162523	0.0
-6.470551664623422	3.0566132519925677	0.0
-6.461830716945652	3.0767541964688836	0.0
-6.453109769267882	3.0968951409451986	0.0
-6.444388821590111	3.1170360854215144	0.0
-6.435667873912341	3.13717702989783	0.0
-6.426946926234571	3.1573179743741453	0.0
-6.418225978556801	3.177458918850461	0.0
-6.409505030879031	3.197599863326776	0.0
-6.400570380938314	3.217638630082551	0.0
-6.391562027776524	3.237642157028406	0.0
-6.382553674614733	3.257645683974261	0.0
-6.373545321452942	3.2776492109201154	0.0
-6.364536968291151	3.2976527378659704	0.0
-6.355528615129361	3.317656264811825	0.0
-6.34652026196757	3.3376597917576794	0.0
-6.337511908805779	3.3576633187035343	0.0
-6.328503555643989	3.3776668456493883	0.0
-6.319495202482198	3.3976703725952437	0.0
-6.310486849320408	3.4176738995410982	0.0
-6.301478496158617	3.4376774264869527	0.0
-6.292470142996826	3.4576809534328077	0.0
-6.283461789835035	3.477684480378662	0.0
-6.274453436673245	3.4976880073245167	0.0
-6.265445083511454	3.5176915342703716	0.0
-6.256436730349663	3.537695061216226	0.0
-6.247428377187872	3.5576985881620806	0.0
-6.238420024026082	3.5777021151079356	0.0
-6.22939126369081	3.5976951500850043	0.0
-6.220195090039796	3.6176021126187363	0.0
-6.210998916388782	3.637509075152468	0.0
-6.201802742737766	3.6574160376862004	0.0
-6.192606569086753	3.677323000219933	0.0
-6.183410395435739	3.6972299627536644	0.0
-6.174214221784723	3.717136925287397	0.0
-6.165018048133709	3.7370438878211285	0.0
-6.155821874482696	3.756950850354861	0.0
-6.14662570083168	3.7768578128885926	0.0
