x	y
-1.3012719049280534	0.27580250604662565
-1.2969350703756293	0.2738166469760027
-1.2895176106179216	0.2708878025933947
-1.2819277391229171	0.26844021411406066
-1.2741966443006156	0.26648393920407076
-1.2663560948779655	0.2650270166166513
-1.2584383093543285	0.2640754331592205
-1.2504758236087785	0.26363309909231936
-1.2425013572031953	0.26370183206150966
-1.2345476789305612	0.2642813496282774
-1.226647472160951	0.26536927043063463
-1.2188332005385702	0.26696112396864685
-1.211136974581673	0.2690503689746747
-1.2035904197335514	0.2716284202928466
-1.196224546406814	0.2746846841573032
-1.1890696225549267	0.27820660172426154
-1.182155049294715	0.28217970067899595
-1.1755092400908964	0.2865876547056632
-1.1691595039990046	0.29141235057566645
-1.163131933446643	0.2966339625787921
-1.157451297014133	0.30223103399127826
-1.1521409376550653	0.30818056524612547
-1.1472226767751186	0.314458108443232
-1.141034715560242	0.3237666993742483
-1.1356506283000822	0.3336685792725796
-1.1252840124426327	0.3552160091656607
-1.1154065027579732	0.37532660085107183
-1.1055558037168312	0.3949745705637727
-1.0957325179335164	0.41417403423000354
-1.0859371109212168	0.43293866497587835
-1.0761707319765141	0.45128017869860015
-1.066433379059836	0.46921185776420493
-1.0567253613323864	0.48674578265856616
-1.0470468972351896	0.5038936278595253
-1.0373981251106958	0.5206666669013513
-1.0277790006646677	0.5370759703436936
-1.0181893302120955	0.5531323582189578
-1.008629759413447	0.5688447868167721
-0.9990997220569588	0.5842237875499345
-0.9895990359301192	0.5992788191746058
-0.9801273642121787	0.6140191761037515
-0.9706842007786693	0.6284540162905994
-0.9612700012273222	0.6425906667263759
-0.9518839419734476	0.6564380516391095
-0.9425255438487385	0.6700042231123694
-0.933194133785189	0.6832971820623429
-0.9238900972829156	0.6963231230222245
-0.9146123966331162	0.7090899671777475
-0.9053602828079074	0.7216049250578094
-0.896134145357635	0.7338734091455251
-0.8869329027365679	0.7459025614321102
-0.8777557867831075	0.7576988398392147
-0.8686031106694959	0.7692670883351451
-0.8594735253391663	0.7806140491395636
-0.8503670656898926	0.7917445103974615
-0.8412833272389948	0.8026636218720136
-0.8322219571359242	0.8133762871546251
-0.8231826050563187	0.8238872332016427
-0.814164606095602	0.8342013807555178
-0.805168361082855	0.8443222749708452
-0.7961970842217722	0.8542502392483037
-0.7872422431109485	0.8639984303903623
-0.7783080551423115	0.8735657727685082
-0.769395352869173	0.8829548676560942
-0.7605035407238263	0.892169728475615
-0.7516330182140571	0.901213217706637
-0.7427843109494873	0.9100879900111595
-0.7339581429858615	0.9187964324260919
-0.7251558929747984	0.9273402377022492
-0.7163776111661931	0.9357223413880926
-0.7076258520091248	0.9439432410677038
-0.6989012378694432	0.9520052521993365
-0.690502014577103	0.9596433386521445
-0.6727850824951656	0.975361936249863
-0.6612018747668649	0.9853181614649826
-0.6495651005191707	0.9948593390874915
-0.6377111897518956	1.0041293652383447
-0.6256464592537786	1.013123300045971
-0.6133773381565438	1.021836350764142
-0.6009103645089012	1.0302638743259616
-0.5882521817925103	1.038401379818094
-0.5754095353817559	1.0462445308739106
-0.5623892689492314	1.0537891479842816
-0.5491983208188379	1.0610312107247792
-0.5358437202684448	1.067966859898108
-0.5223325837840855	1.0745923995906175
-0.5086721112676701	1.0809042991418072
-0.4948695822002663	1.0868991950257663
-0.48093235176295457	1.0925738926435493
-0.4668678469173513	1.0979253680255396
-0.45268356244788777	1.1029507694428764
-0.4383870569679354	1.1076474189271062
-0.42398594889192365	1.112012813697234
-0.40948791237559246	1.116044627493423
-0.39490067322653416	1.1197407118166256
-0.3802320047872203	1.123099097073491
-0.36548972379269057	1.1261179936259322
-0.35068168620511686	1.1287957927448034
-0.33581578302747167	1.131131067467167
-0.32089993609851836	1.1331225733567059
-0.30594209387136956	1.1347692491668624
-0.29095022717786406	1.1360702174063675
-0.2759323249810194	1.1370247848068393
-0.26089639011782056	1.1376324426922197
-0.2458504350346166	1.137892867249839
-0.2308024775173937	1.1378059197029724
-0.21576053641921256	1.137371646384792
-0.20073262738706368	1.1365902787136761
-0.18572675859043714	1.1354622330698894
-0.17075092645388196	1.1339881105737006
-0.1558131113958177	1.1321686967650524
-0.1409212735758754	1.1300049611849583
-0.12608334865303827	1.1274980568588477
-0.11130724355683522	1.1246493196821334
-0.09660083227384629	1.1214602677083318
-0.08197195165176079	1.1179326003401122
-0.06742839722322665	1.1140681974237086
-0.052977919051718475	1.1098691182471745
-0.03862821760163221	1.1053376004430164
-0.024386939634809555	1.1004760587957896
-0.010261674135686155	1.0952870839552926
0.0037400517327769722	1.0897734410560445
0.018653806848247606	1.0834920438859221
0.01759231256766494	1.083942334963661
0.03399383320526818	1.0768204378561237
0.05000629070776942	1.0696302905201327
0.06619839960010832	1.0621189773671915
0.08256317913925454	1.0542817165709046
0.09909677908624429	1.046112280840026
0.11579735240741293	1.037603376342181
0.13266465822275808	1.0287467203772798
0.14970033213951273	1.019532784881699
0.1669070287075779	1.0099511418061364
0.18428148261049065	0.9999943619044669
0.20183894591433826	0.9896439781609901
0.21957986776750626	0.9788894391745637
0.2375098026343334	0.9677166719168108
0.2556339763172848	0.9561111912831354
0.2739594369695354	0.9440566822397632
0.2924933165405578	0.9315360172083593
0.31124246603242267	0.918531470994945
0.33021597262970276	0.9050229140403326
0.3494210731019669	0.8909905947413129
0.36886747035120987	0.87641200048
0.38856316063483026	0.861264832660244
0.4085177907399852	0.8455244423803548
0.42874179662528245	0.8291643426349335
0.4492439958153699	0.8121580823447193
0.47003489510792335	0.7944765042029412
0.49112576267997876	0.776088342935284
0.5125263089614234	0.7569621567718394
0.5342477914653687	0.7370635396018085
0.5563016106201093	0.7163562130201167
0.5786992387162536	0.6948019854958194
0.6014530059249159	0.6723598658635184
0.6245738272403097	0.6489881643545761
0.6480740127722846	0.6246415986120655
0.6719660415214818	0.5992723215613192
0.6962623787446182	0.572829956075638
0.7209756395784905	0.5452612545185435
0.7461191802329901	0.5165092324747419
0.7717049408400882	0.48651542339180354
0.7977459999240804	0.45521676649080967
0.824255585822343	0.42254646471712987
0.8512467484809891	0.3884341328239852
0.8787325390831653	0.35280531550015576
0.9067259712587352	0.31558124163720386
0.9352399760482477	0.2766785649260727
0.9642879380936533	0.23600826647763817
0.9938816490747576	0.19347813509223086
1.0240335292483278	0.1489892956190616
1.0547559217065217	0.10243670701909138
1.086060550017096	0.05370949193076274
1.1182920375944136	0.002153311193732396
1.119795912245318	-0.00017253313706375173
1.1228417523978136	-0.004678042132023656
1.1281591315845911	-0.011685179481963112
1.1339145344769852	-0.018337234262483182
1.140084310889985	-0.024606871753634227
1.146643107888894	-0.030468328670129385
1.1535639739699888	-0.035897519028222746
1.1608184698100188	-0.04087213312017299
1.168376785129494	-0.04537172918962601
1.1762078611895115	-0.04937781743117105
1.1842795184187802	-0.052873935968921024
1.192558588646384	-0.05584571850189052
1.2010110513968997	-0.05828095333820485
1.2096021736878395	-0.06016963357556582
1.2182966527549153	-0.06150399822175642
1.2270587611186845	-0.062278564086226285
1.2358524933964143	-0.06249014831169403
1.2446417142559214	-0.062137881453192836
1.2533903069034196	-0.06122321105080497
1.2620623214951487	-0.059749895681409884
1.2706221228630121	-0.05772398951388534
1.2790345369471123	-0.05515381743123034
1.2872649953335213	-0.05204994082183351
1.295279677303312	-0.04842511418045778
1.300240038568863	-0.045844789747528286
