x	y	z
-7.792834525223286	3.6377186175716294	0.0
-7.787806349184626	3.6620221086262594	0.0
-7.7827781731459655	3.6863255996808904	0.0
-7.777749997107305	3.7106290907355204	0.0
-7.772721821068645	3.734932581790151	0.0
-7.767693645029984	3.759236072844781	0.0
-7.762665468991323	3.7835395638994114	0.0
-7.757637292952664	3.807843054954042	0.0
-7.752609116914003	3.8321465460086723	0.0
-7.747580940875342	3.8564500370633024	0.0
-7.742552764836682	3.8807535281179333	0.0
-7.737524588798021	3.9050570191725633	0.0
-7.73249641275936	3.9293605102271942	0.0
-7.7274682367207	3.953664001281824	0.0
-7.72244006068204	3.9779674923364543	0.0
-7.717411884643379	4.002270983391085	0.0
-7.712383708604718	4.026574474445716	0.0
-7.707355532566058	4.050877965500346	0.0
-7.702327356527398	4.075181456554976	0.0
-7.697299180488737	4.099484947609606	0.0
-7.692271004450077	4.123788438664237	0.0
-7.687242828411416	4.148091929718867	0.0
-7.682214652372756	4.172395420773498	0.0
-7.677186476334096	4.196698911828127	0.0
-7.672158300295435	4.221002402882759	0.0
-7.667130124256775	4.245305893937388	0.0
-7.6621019482181145	4.26960938499202	0.0
-7.657073772179454	4.293912876046649	0.0
-7.652045596140793	4.3182163671012805	0.0
-7.647017420102133	4.34251985815591	0.0
-7.641989244063471	4.3668233492105415	0.0
-7.635936561461694	4.390898019276451	0.0
-7.625960219923929	4.414096349893243	0.0
-7.615983878386162	4.437294680510036	0.0
-7.605885561764851	4.4604360985492555	0.0
-7.595635414893415	4.483506673834057	0.0
-7.585385268021979	4.506577249118861	0.0
-7.575135121150543	4.529647824403663	0.0
-7.564884974279107	4.552718399688466	0.0
-7.554634827407671	4.575788974973269	0.0
-7.5443846805362345	4.598859550258071	0.0
-7.534134533664798	4.621930125542875	0.0
-7.523884386793362	4.645000700827677	0.0
-7.513634239921926	4.66807127611248	0.0
-7.50338409305049	4.691141851397283	0.0
-7.493133946179053	4.714212426682085	0.0
-7.482883799307617	4.737283001966889	0.0
-7.47263365243618	4.760353577251692	0.0
-7.462383505564744	4.783424152536494	0.0
-7.452133358693307	4.806494727821296	0.0
-7.441831993552881	4.8295399172192806	0.0
-7.431402130478007	4.852521417740529	0.0
-7.420972267403133	4.875502918261777	0.0
-7.410542404328259	4.898484418783024	0.0
-7.400112541253385	4.921465919304272	0.0
-7.389682678178511	4.9444474198255195	0.0
-7.379252815103636	4.967428920346767	0.0
-7.368822952028764	4.990410420868015	0.0
-7.358393088953889	5.013391921389263	0.0
-7.347963225879016	5.036373421910511	0.0
-7.337533362804141	5.059354922431758	0.0
-7.327103499729267	5.082336422953006	0.0
-7.316673636654393	5.105317923474254	0.0
-7.306243773579519	5.128299423995501	0.0
-7.295813910504646	5.151280924516749	0.0
-7.285384047429771	5.174262425037997	0.0
-7.274863756008234	5.197196965036115	0.0
-7.264255885123702	5.220086023970502	0.0
-7.25364801423917	5.242975082904891	0.0
-7.243040143354638	5.265864141839279	0.0
-7.232432272470106	5.288753200773667	0.0
-7.2218244015855735	5.311642259708054	0.0
-7.211216530701042	5.334531318642442	0.0
-7.200608659816511	5.35742037757683	0.0
-7.190000788931978	5.380309436511217	0.0
-7.179392918047446	5.403198495445605	0.0
-7.168785047162914	5.426087554379993	0.0
-7.158177176278382	5.448976613314381	0.0
-7.1475693053938505	5.471865672248769	0.0
-7.136961434509318	5.494754731183156	0.0
-7.126353563624786	5.517643790117544	0.0
-7.115727921279642	5.5405231911501565	0.0
-7.104943814046648	5.563316474426044	0.0
-7.094159706813653	5.586109757701931	0.0
-7.083375599580661	5.608903040977817	0.0
-7.072591492347666	5.631696324253705	0.0
-7.0618073851146725	5.654489607529592	0.0
-7.0510232778816775	5.677282890805479	0.0
-7.040239170648684	5.700076174081366	0.0
-7.02945506341569	5.722869457357254	0.0
-7.018670956182697	5.74566274063314	0.0
-7.007886848949703	5.768456023909027	0.0
-6.997102741716708	5.7912493071849145	0.0
-6.986318634483715	5.814042590460802	0.0
-6.97553452725072	5.836835873736689	0.0
-6.964750420017726	5.859629157012575	0.0
-6.953956113306863	5.882416646095686	0.0
-6.942997603626398	5.905110853574344	0.0
-6.932039093945933	5.927805061053003	0.0
-6.921080584265468	5.95049926853166	0.0
-6.910122074585003	5.973193476010318	0.0
-6.899163564904538	5.995887683488975	0.0
-6.8882050552240734	6.018581890967633	0.0
-6.877246545543609	6.041276098446291	0.0
-6.866288035863144	6.063970305924949	0.0
-6.855329526182679	6.086664513403607	0.0
-6.8443710165022145	6.109358720882264	0.0
-6.83341250682175	6.132052928360922	0.0
-6.8224539971412845	6.15474713583958	0.0
-6.81149548746082	6.177441343318238	0.0
-6.800536977780355	6.200135550796896	0.0
-6.789511302800137	6.222789911994035	0.0
-6.7783802863632445	6.245381778638872	0.0
-6.767249269926352	6.267973645283709	0.0
-6.756118253489459	6.290565511928546	0.0
-6.744987237052566	6.313157378573383	0.0
-6.733856220615674	6.335749245218219	0.0
-6.72272520417878	6.358341111863057	0.0
-6.711594187741888	6.380932978507894	0.0
-6.700463171304995	6.40352484515273	0.0
-6.689332154868102	6.426116711797567	0.0
-6.678201138431209	6.448708578442405	0.0
-6.667070121994317	6.471300445087242	0.0
-6.655939105557423	6.493892311732079	0.0
-6.644808089120531	6.516484178376915	0.0
-6.633655841877407	6.539062903252992	0.0
-6.622354275493546	6.561549200286342	0.0
-6.611052709109685	6.584035497319693	0.0
-6.5997511427258235	6.606521794353044	0.0
-6.5884495763419615	6.629008091386394	0.0
-6.5771480099581	6.651494388419746	0.0
-6.565846443574237	6.673980685453095	0.0
-6.554544877190376	6.696466982486446	0.0
-6.543243310806515	6.718953279519797	0.0
-6.531941744422653	6.741439576553147	0.0
-6.520640178038791	6.763925873586498	0.0
-6.50933861165493	6.786412170619848	0.0
-6.498037045271068	6.808898467653199	0.0
-6.486735478887207	6.831384764686549	0.0
-6.475376206084324	6.853833812689231	0.0
-6.463904204022271	6.876210094859219	0.0
-6.45243220196022	6.898586377029207	0.0
-6.440960199898168	6.920962659199193	0.0
-6.429488197836117	6.9433389413691815	0.0
-6.418016195774066	6.965715223539169	0.0
-6.406544193712014	6.988091505709155	0.0
-6.3950721916499615	7.010467787879143	0.0
-6.38360018958791	7.03284407004913	0.0
-6.372128187525859	7.055220352219117	0.0
-6.360656185463807	7.077596634389105	0.0
-6.349184183401754	7.099972916559093	0.0
-6.337712181339702	7.122349198729079	0.0
-6.326203838804419	7.144701006791119	0.0
-6.314555460345985	7.16695850528603	0.0
-6.302907081887551	7.189216003780941	0.0
-6.291258703429117	7.211473502275852	0.0
-6.279610324970684	7.233731000770763	0.0
-6.26796194651225	7.2559884992656745	0.0
-6.256313568053816	7.278245997760584	0.0
-6.2446651895953815	7.300503496255495	0.0
-6.233016811136949	7.322760994750407	0.0
-6.2213684326785135	7.345018493245318	0.0
-6.20972005422008	7.367275991740228	0.0
-6.198071675761645	7.389533490235139	0.0
-6.186423297303212	7.41179098873005	0.0
-6.174774918844778	7.434048487224961	0.0
-6.163121666193982	7.456302485030127	0.0
-6.15112417201617	7.478309245407197	0.0
-6.139126677838356	7.500316005784266	0.0
-6.127129183660544	7.522322766161336	0.0
-6.11513168948273	7.544329526538406	0.0
-6.103134195304918	7.566336286915476	0.0
-6.0911367011271045	7.588343047292546	0.0
-6.079139206949291	7.610349807669616	0.0
-6.067141712771478	7.632356568046687	0.0
-6.055144218593665	7.654363328423756	0.0
-6.043146724415851	7.676370088800826	0.0
-6.0311492302380385	7.698376849177896	0.0
-6.019151736060225	7.720383609554966	0.0
-6.007154241882413	7.7423903699320356	0.0
-5.995156747704599	7.7643971303091055	0.0
-5.982880865001431	7.786186409465419	0.0
-5.9705446507500755	7.807928556726723	0.0
-5.958208436498721	7.829670703988025	0.0
-5.945872222247366	7.851412851249329	0.0
-5.933536007996011	7.873154998510631	0.0
-5.921199793744655	7.894897145771934	0.0
-5.908863579493301	7.916639293033237	0.0
-5.896527365241947	7.93838144029454	0.0
-5.884191150990591	7.9601235875558425	0.0
-5.871854936739236	7.981865734817145	0.0
-5.8595187224878815	8.003607882078448	0.0
-5.847182508236527	8.02535002933975	0.0
-5.834846293985172	8.047092176601055	0.0
-5.822510079733816	8.068834323862356	0.0
-5.809967431876439	8.090401348790063	0.0
-5.797303444284873	8.11186543845535	0.0
-5.7846394566933075	8.133329528120635	0.0
-5.771975469101742	8.15479361778592	0.0
-5.759311481510175	8.176257707451207	0.0
-5.746647493918609	8.197721797116492	0.0
-5.733983506327044	8.219185886781776	0.0
-5.721319518735477	8.240649976447061	0.0
-5.708655531143912	8.262114066112348	0.0
-5.6959915435523465	8.283578155777633	0.0
-5.683327555960779	8.305042245442918	0.0
-5.670663568369214	8.326506335108204	0.0
-5.657999580777648	8.34797042477349	0.0
-5.645335593186084	8.369434514438776	0.0
-5.632533155089836	8.390771203454076	0.0
-5.619552874168873	8.411944243434538	0.0
-5.606572593247909	8.433117283415001	0.0
-5.5935923123269475	8.454290323395464	0.0
-5.580612031405986	8.475463363375928	0.0
-5.567631750485023	8.49663640335639	0.0
-5.554651469564061	8.517809443336853	0.0
-5.5416711886430985	8.538982483317316	0.0
-5.528690907722137	8.560155523297778	0.0
-5.515710626801173	8.581328563278241	0.0
-5.50273034588021	8.602501603258704	0.0
-5.4897500649592486	8.623674643239166	0.0
-5.476769784038287	8.644847683219629	0.0
-5.463789503117324	8.666020723200091	0.0
-5.450734471094591	8.687119191520086	0.0
-5.437449891454893	8.707988663256108	0.0
-5.424165311815197	8.728858134992132	0.0
-5.410880732175499	8.749727606728154	0.0
-5.397596152535803	8.770597078464178	0.0
-5.384311572896105	8.7914665502002	0.0
-5.3710269932564065	8.812336021936222	0.0
-5.35774241361671	8.833205493672246	0.0
-5.344457833977013	8.854074965408268	0.0
-5.331173254337315	8.87494443714429	0.0
-5.317888674697619	8.895813908880312	0.0
-5.304604095057921	8.916683380616336	0.0
-5.291319515418224	8.93755285235236	0.0
-5.278034935778526	8.958422324088382	0.0
-5.264734723166478	8.979274888687176	0.0
-5.251158334503679	8.999828767515654	0.0
-5.237581945840881	9.020382646344132	0.0
